model_variant,roc_auc,average_precision,brier_score,mean_calibration_gap,top_decile_gap
isotonic,0.7918542149193725,0.9919744391580029,0.022944072947209734,0.008187219262315415,2.331291602941654e-05
sigmoid,0.8015756039616547,0.9936779134928504,0.022445866140037404,0.010884343711901768,0.005178769501181457
raw,0.8015756039616547,0.9936779134928504,0.05716884508728981,0.1066480187224789,0.0017979086335024874
